地市 ,2023年, 2022年, 2021年, 2020年, 2019年, 2018年
合肥, 141275, 130823, 61760, 35412, 26085, 15634
芜湖, 31559, 29674, 16527, 11281, 9313, 7869
蚌埠, 12169, 11281, 5674, 3290, 2482, 1969
淮南, 11394, 10742, 4691, 2158, 1650, 1322
马鞍山, 15391, 14360, 6585, 2953, 1767, 1152
淮北, 8115, 7587, 3879, 1723, 1252, 902
铜陵, 7670, 7132, 3556, 1722, 1219, 736
安庆, 17025, 15791, 7604, 3584, 2473, 1534
黄山, 5542, 5108, 2327, 1172, 847, 594
阜阳, 39902, 37499, 18882, 9999, 7295, 5218
宿州, 20217, 18974, 10295, 5855, 4287, 3383
滁州, 18027, 16913, 8671, 4779, 3610, 2397
六安, 18247, 17070, 8966, 4918, 3671, 2910
宜城, 13820, 12907, 5828, 2665, 1911, 1289
池州, 5394 ,4893, 2111, 1032, 685, 459
亳州, 29284, 27618, 11945, 6470, 4910, 3140
全省, 395031, 368372, 179301, 99013, 73457, 50508