地市,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年,2029年,2030年
合肥,15634,	26085,	35412,	61760,	130823,	141275,	154477,	167680,	180883,	194085,	207288,	220491	,233694
芜湖,7869	,9313,	11281,	16527,	29674,	31559,	33444,	35330,	37215,	39100,	40986,	42871,	44756
蚌埠,1969	,2482,	3290,	5674,	11281,	12169,	13057,	13946,	14834,	15722,	16611,	17500,	18388
淮南,1322	,1650,	2158,	4691,	10742,	11394,	12046,	12798,	13549,	14301,	15053,	15805,	16557
马鞍山,1152,	1767,	2953,	6585,	14360,	15391,	16422,	17454,	18485,	19516,	20548,	21579,	22611
淮北,902	,1252,	1723,	3879,	7587,	8115,	8644,	9172,		9701,	10229,	10758,	11286,	11815
铜陵,736	,1219,	1722,	3556,	7132,	7670,	8208,	8746,		9284,	9822,	10360,	10998,	11636
安庆,1534,	2473,	3584,	7604,	15791,	17025,	18259,	19493,	20726,	21960,	23194,	24428,	25661
黄山,594,	847	,1172,	2327,	5108,	5542,	5976,	6410,		6844,	7278,	7712,	8146,	8580
阜阳,5218,	7295,	9999,	18882,	37499,	39902,	42305,	44708,	47111,	49514,	51917,	54320,	56723
宿州,3383,	4287,	5855,10295,	18974,	20217,	21460,	22702,		23945,	25188,	26430,	27673,	28916
滁州,2397,	3610,	4779,8671,	16913,	18027,	19141,	20254,		21368,	22482,	23595,	24709,	25823
六安,2910,	3671,	4918,8966,	17070,	18247,	19424,	20601,		21777,	22954,	24131,	25308,	26484
宜城,1289,	1911,	2665,5828,	12907,	13820,	14733,	15646,		16559,	17472,	18385,	19298,	20211
池州,459,	685,	1032,	2111,	4893,	5394,	5896,	6397,	6899,	7400,	7902,	8404,	8905
亳州,3140,	4910,	6470,	11945,	27618,	29284,	30950,	32616,	34282,	35948,	37614,	39280,	40946
全省,50508,73457,	99013,	179301,	368372,	395031,	421690,	448349,	475008,	501667,	528327,	554986,	581645